"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1068","","0509","KING","2014-03-14",1,1,"BUSINESS",102,0,"CONFRM","CONVENTION","UNITED STATES","","Future",51,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Tampa","Florida",65,"Hyatt Place","",126,6,"No","Owned","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Hotel",""
"1069","CONVENTION","0442","KING","2014-03-05",2,1,"BUSINESS",318,0,"CONFRM","CONVENTION","UNITED STATES","","Future",318,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Newport Beach","California",39,"Hyatt Regency","",403,3,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","","N","N","Y","Digital Channels",""
"1070","TRANSIENT","1918","KING","2014-03-01",1,2,"BUSINESS",108.54,69.02,"CONFRM","TRANSIENT","CANADA","Gold","Past",116.1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Rochester","New York",40,"Hyatt Regency","",336,25,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","","N","N","Y","Digital Channels",""
"1071","TRANSIENT","0423","KING","2014-03-04",3,1,"BUSINESS",657,0,"CONFRM","TRANSIENT","","","Future",657,"Male","46-55",NA,9,9,10,9,9,9,8,"El Segundo","California",68,"Hyatt Place","",143,5,"No","Franchised","N","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","GDS","Promoter"
"1072","TRANSIENT","0224","DDBL","2014-03-20",1,2,"BUSINESS",87,0,"CONFRM","TRANSIENT","","","Past",87,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Nashville","Tennessee",55,"Hyatt Place","",123,5,"No","Owned","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Opaque",""
"1073","CONVENTION","1117","GRNT","2014-03-29",2,2,"BUSINESS",193.72,79.32,"CONFRM","CONVENTION","INDONESIA","","Future",307.96,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Suminoe-Ku","",45,"Hyatt Regency","Regency Club",500,18,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","N","Y","","Y","N","N","Hotel",""
"1074","","0223","KING","2014-03-06",3,1,"BUSINESS",282,0,"CONFRM","CONVENTION","UNITED STATES","","Future",282,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Tampa","Florida",65,"Hyatt Place","",126,6,"No","Owned","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Hotel",""
"1075","","0743","DDBL","2014-03-24",3,1,"BUSINESS",576,37.16,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",576,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Rosemont","Illinois",52,"Hyatt Regency","Regency Club",1100,10,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","Y","N","N","Y","N","Y","Y","Y","N","N","N","","","Y","Digital Channels",""
"1076","TRANSIENT","1123","CLBK","2014-03-23",1,1,"BUSINESS",188.06,64.22,"CONFRM","TRANSIENT","","","Future",203.31,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Shanghai","",58,"Hyatt","Club",631,33,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","","N","Y","N","GDS",""
"1077","TRANSIENT","1904","KING","2014-03-03",3,1,"BUSINESS",560.56,16.38,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",741.85,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Tokyo","",NA,"Hyatt Regency","",744,32,"No","Franchised","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","Y","","","","","Global Contact Center",""
